week,alpha,EXCELLENT,GOOD,NORMAL,DISAPPOINTED,Excellent_lead_1wk,Good_lead_1wk,Normal_lead_1wk,Disappoint_lead_1wk,Excellent_lead_2wk,Good_lead_2wk,Normal_lead_2wk,Disappoint_lead_2wk,Alpha_class
322,-2.5,3,2,2,0,1,1,0,0,1,2,0,2,2
323,-0.31000000000000005,1,2,1,0,3,2,2,0,1,1,0,0,3
324,-0.7200000000000002,3,3,0,0,1,2,1,0,3,2,2,0,3
325,-0.42,2,2,3,0,3,3,0,0,1,2,1,0,3
326,-1.9500000000000002,2,0,1,0,2,2,3,0,3,3,0,0,3
327,-0.16000000000000014,1,3,2,1,2,0,1,0,2,2,3,0,3
328,-4.6899999999999995,4,2,2,0,1,3,2,1,2,0,1,0,2
329,1.76,1,3,0,0,4,2,2,0,1,3,2,1,4
330,2.17,2,3,1,0,1,3,0,0,4,2,2,0,4
331,2.44,0,1,1,0,2,3,1,0,1,3,0,0,4
332,-3.2399999999999993,2,1,1,2,0,1,1,0,2,3,1,0,2
333,-0.7600000000000002,0,2,2,2,2,1,1,2,0,1,1,0,3
334,2.7800000000000002,3,2,1,0,0,2,2,2,2,1,1,2,5
335,-0.8400000000000003,1,2,0,0,3,2,1,0,0,2,2,2,3
336,0.9700000000000002,1,4,2,2,1,2,0,0,3,2,1,0,4
337,-7.02,0,3,0,0,1,4,2,2,1,2,0,0,1
338,4.78,1,1,3,0,0,3,0,0,1,4,2,2,5
339,0.29000000000000004,0,1,0,0,1,1,3,0,0,3,0,0,4
340,1.2800000000000002,1,2,1,0,0,1,0,0,1,1,3,0,4
341,-3.26,0,1,1,1,1,2,1,0,0,1,0,0,2
342,-17.05,1,1,0,1,0,1,1,1,1,2,1,0,1
343,3.8600000000000003,2,1,1,1,1,1,0,1,0,1,1,1,5
344,-1.12,1,4,2,0,2,1,1,1,1,1,0,1,3
345,-2.6,3,2,0,1,1,4,2,0,2,1,1,1,2
346,-1.42,0,2,0,1,3,2,0,1,1,4,2,0,3
347,-2,2,0,2,1,0,2,0,1,3,2,0,1,3
348,-2.1100000000000003,0,0,0,0,2,0,2,1,0,2,0,1,3
349,-3.33,5,2,0,3,0,0,0,0,2,0,2,1,2
350,0.8500000000000001,3,2,1,1,5,2,0,3,0,0,0,0,4
351,-7.74,2,1,3,0,3,2,1,1,5,2,0,3,1
352,-1.12,0,3,1,0,2,1,3,0,3,2,1,1,3
353,2.66,0,2,3,0,0,3,1,0,2,1,3,0,5
354,2.4800000000000004,3,3,3,0,0,2,3,0,0,3,1,0,4
355,-3.07,2,6,0,1,3,3,3,0,0,2,3,0,2
356,-1.45,1,4,4,1,2,6,0,1,3,3,3,0,3
357,1.88,0,0,1,0,1,4,4,1,2,6,0,1,4
358,0.53,1,1,4,0,0,0,1,0,1,4,4,1,4
359,0.46999999999999986,2,7,1,0,1,1,4,0,0,0,1,0,4
360,5.48,2,3,2,1,2,7,1,0,1,1,4,0,6
361,-0.27,2,5,2,1,2,3,2,1,2,7,1,0,3
362,-2.28,0,0,1,0,2,5,2,1,2,3,2,1,3
363,-4.06,3,1,0,1,0,0,1,0,2,5,2,1,2
364,9.200000000000001,2,3,1,1,3,1,0,1,0,0,1,0,6
365,-3.4699999999999998,2,2,0,1,2,3,1,1,3,1,0,1,2
366,-1.28,2,2,1,0,2,2,0,1,2,3,1,1,3
367,-0.94,0,3,2,0,2,2,1,0,2,2,0,1,3
